2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Request joining group due to: rebalance failed due to 'This is not the correct coordinator.' (NotCoordinatorException)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] (Re-)joining group
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Attempt to heartbeat failed since coordinator localhost:9092 (id: 2147483646 rack: null) is either not started or not valid
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Group coordinator localhost:9092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: error response NOT_COORDINATOR. isDisconnected: false. Rediscovery will be attempted.
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Client requested disconnect from node 2147483646
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Cancelled in-flight JOIN_GROUP request with correlation id 68819 due to node 2147483646 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 305000ms)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Group coordinator localhost:9092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: coordinator unavailable. isDisconnected: false. Rediscovery will be attempted.
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Request joining group due to: rebalance failed due to 'This is not the correct coordinator.' (NotCoordinatorException)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] (Re-)joining group
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Attempt to heartbeat failed since coordinator localhost:9092 (id: 2147483646 rack: null) is either not started or not valid
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Group coordinator localhost:9092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: error response NOT_COORDINATOR. isDisconnected: false. Rediscovery will be attempted.
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Client requested disconnect from node 2147483646
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Cancelled in-flight JOIN_GROUP request with correlation id 13331 due to node 2147483646 being disconnected (elapsed time since creation: 2ms, elapsed time since send: 1ms, throttle time: 0ms, request timeout: 305000ms)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:44 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Group coordinator localhost:9092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: coordinator unavailable. isDisconnected: false. Rediscovery will be attempted.
