2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#1-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-6, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Discovered group coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Request joining group due to: rebalance failed due to 'null' (DisconnectException)
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#1-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-6, groupId=learning-management-service] Request joining group due to: rebalance failed due to 'null' (DisconnectException)
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Request joining group due to: rebalance failed due to 'null' (DisconnectException)
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] (Re-)joining group
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] (Re-)joining group
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#1-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-6, groupId=learning-management-service] (Re-)joining group
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Request joining group due to: rebalance failed due to 'null' (DisconnectException)
2026-02-02 08:30:35 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] (Re-)joining group
2026-02-02 08:30:38 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Successfully joined group with generation Generation{generationId=39, memberId='consumer-learning-management-service-5-12fad5c1-451a-4ec4-ac6b-37d3cdb14461', protocol='range'}
2026-02-02 08:30:38 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Successfully joined group with generation Generation{generationId=39, memberId='consumer-learning-management-service-1-9bd4486d-3221-4c71-9f14-05ee1c3ed9f9', protocol='range'}
2026-02-02 08:30:38 [org.springframework.kafka.KafkaListenerEndpointContainer#1-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-6, groupId=learning-management-service] Successfully joined group with generation Generation{generationId=39, memberId='consumer-learning-management-service-6-6831a580-afa9-4f2f-ad7f-ff7ce7c69491', protocol='range'}
2026-02-02 08:30:38 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Successfully joined group with generation Generation{generationId=39, memberId='consumer-learning-management-service-3-43e651ed-70cb-4f0e-a2c2-1c6f8b8e22ec', protocol='range'}
2026-02-02 08:30:40 [cluster-ClusterId{value='697c5170c7e1aef220d08bbf', description='null'}-ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=97508500, minRoundTripTimeNanos=0, setName='atlas-haws0i-shard-0', canonicalAddress=ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017, hosts=[ac-1wjcxje-shard-00-01.sjmtr4c.mongodb.net:27017, ac-1wjcxje-shard-00-00.sjmtr4c.mongodb.net:27017, ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017], passives=[], arbiters=[], primary='ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000013a, setVersion=341, topologyVersion=TopologyVersion{processId=697a5c70ead2efa82e307c5d, counter=6}, lastWriteDate=Mon Feb 02 08:30:41 IST 2026, lastUpdateTimeNanos=1972610134575600}
2026-02-02 08:30:40 [cluster-ClusterId{value='697c5170c7e1aef220d08bbf', description='null'}-ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017 with max election id 7fffffff000000000000013a and max set version 341
2026-02-02 08:30:40 [cluster-ClusterId{value='697c5170c7e1aef220d08bbf', description='null'}-ac-1wjcxje-shard-00-01.sjmtr4c.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-1wjcxje-shard-00-01.sjmtr4c.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=89848300, minRoundTripTimeNanos=0, setName='atlas-haws0i-shard-0', canonicalAddress=ac-1wjcxje-shard-00-01.sjmtr4c.mongodb.net:27017, hosts=[ac-1wjcxje-shard-00-01.sjmtr4c.mongodb.net:27017, ac-1wjcxje-shard-00-00.sjmtr4c.mongodb.net:27017, ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017], passives=[], arbiters=[], primary='ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=341, topologyVersion=TopologyVersion{processId=697a5f7aa82e8f7f590fafdc, counter=3}, lastWriteDate=Mon Feb 02 08:30:41 IST 2026, lastUpdateTimeNanos=1972610168824000}
2026-02-02 08:30:40 [cluster-ClusterId{value='697c5170c7e1aef220d08bbf', description='null'}-ac-1wjcxje-shard-00-00.sjmtr4c.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-1wjcxje-shard-00-00.sjmtr4c.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=90181400, minRoundTripTimeNanos=0, setName='atlas-haws0i-shard-0', canonicalAddress=ac-1wjcxje-shard-00-00.sjmtr4c.mongodb.net:27017, hosts=[ac-1wjcxje-shard-00-01.sjmtr4c.mongodb.net:27017, ac-1wjcxje-shard-00-00.sjmtr4c.mongodb.net:27017, ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017], passives=[], arbiters=[], primary='ac-1wjcxje-shard-00-02.sjmtr4c.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=341, topologyVersion=TopologyVersion{processId=697a595ecce0cfc5fc9449d1, counter=4}, lastWriteDate=Mon Feb 02 08:30:41 IST 2026, lastUpdateTimeNanos=1972610169157200}
2026-02-02 08:30:41 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_LEARNING-MANAGEMENT-SERVICE/learning-management-service:499ce72a7a977545295b15f1b4b1b854 - Re-registering apps/LEARNING-MANAGEMENT-SERVICE
2026-02-02 08:30:41 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_LEARNING-MANAGEMENT-SERVICE/learning-management-service:499ce72a7a977545295b15f1b4b1b854: registering service...
2026-02-02 08:30:41 [DiscoveryClient-HeartbeatExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_LEARNING-MANAGEMENT-SERVICE/learning-management-service:499ce72a7a977545295b15f1b4b1b854 - registration status: 204
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] SyncGroup failed: This is not the correct coordinator. Marking coordinator unknown. Sent generation was Generation{generationId=39, memberId='consumer-learning-management-service-5-12fad5c1-451a-4ec4-ac6b-37d3cdb14461', protocol='range'}
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Group coordinator localhost:9092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: error response NOT_COORDINATOR. isDisconnected: false. Rediscovery will be attempted.
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Client requested disconnect from node 2147483646
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#1-1-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-5, groupId=learning-management-service] Cancelled in-flight HEARTBEAT request with correlation id 13322 due to node 2147483646 being disconnected (elapsed time since creation: 1965ms, elapsed time since send: 1965ms, throttle time: 0ms, request timeout: 30000ms)
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] SyncGroup failed: This is not the correct coordinator. Marking coordinator unknown. Sent generation was Generation{generationId=39, memberId='consumer-learning-management-service-3-43e651ed-70cb-4f0e-a2c2-1c6f8b8e22ec', protocol='range'}
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Group coordinator localhost:9092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: error response NOT_COORDINATOR. isDisconnected: false. Rediscovery will be attempted.
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] SyncGroup failed: This is not the correct coordinator. Marking coordinator unknown. Sent generation was Generation{generationId=39, memberId='consumer-learning-management-service-1-9bd4486d-3221-4c71-9f14-05ee1c3ed9f9', protocol='range'}
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Client requested disconnect from node 2147483646
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Group coordinator localhost:9092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: error response NOT_COORDINATOR. isDisconnected: false. Rediscovery will be attempted.
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483646 rack: null)
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Client requested disconnect from node 2147483646
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-1, groupId=learning-management-service] Cancelled in-flight HEARTBEAT request with correlation id 101398 due to node 2147483646 being disconnected (elapsed time since creation: 1966ms, elapsed time since send: 1966ms, throttle time: 0ms, request timeout: 30000ms)
2026-02-02 08:30:43 [org.springframework.kafka.KafkaListenerEndpointContainer#0-2-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-learning-management-service-3, groupId=learning-management-service] Cancelled in-flight HEARTBEAT request with correlation id 68810 due to node 2147483646 being disconnected (elapsed time since creation: 1964ms, elapsed time since send: 1964ms, throttle time: 0ms, request timeout: 30000ms)
